id, page_number
570  , 65
216  , 96
1782 , 81
1796 , 63
202  , 35
564  , 113
1966 , 6
1972 , 8
558  , 39
1027 , 78
3156 , 96
1999 , 17
1741 , 53
1755 , 39
3142 , 161
1033 , 116
1769 , 77
1580 , 97
772  , 104
766  , 20
1594 , 140
996  , 61
982  , 61
1543 , 76
3354 , 115
969  , 106
1225 , 77
1231 , 164
3340 , 80
1557 , 38
3368 , 74
955  , 125
1219 , 50
941  , 45
799  , 45
160  , 55
1392 , 97
606  , 64
2843 , 69
2857 , 212
612  , 64
1386 , 138
174  , 61
148  , 40
1437 , 163
3220 , 75
3546 , 135
1351 , 79
1345 , 136
49   , 61
809  , 76
3234 , 43
1423 , 56
61   , 72
821  , 38
1379 , 45
75   , 91
835  , 76
3208 , 170
2499 , 81
404  , 37
1190 , 95
362  , 91
376  , 69
1184 , 45
410  , 85
438  , 59
1812 , 53
1806 , 67
1153 , 64
3022 , 196
1635 , 59
1621 , 68
3036 , 93
1147 , 59
1609 , 66
389  , 45
388  , 91
2315 , 5
2473 , 95
2467 , 47
1608 , 45
2329 , 4
1620 , 80
1146 , 57
1152 , 73
1634 , 81
1807 , 80
439  , 37
1813 , 90
377  , 92
411  , 35
1185 , 44
1191 , 70
405  , 64
363  , 58
834  , 41
74   , 95
1378 , 265
820  , 36
60   , 62
808  , 85
48   , 21
1344 , 164
1422 , 69
1436 , 240
1350 , 132
149  , 52
1387 , 77
613  , 59
175  , 62
161  , 53
607  , 68
1393 , 115
798  , 63
940  , 59
1218 , 83
954  , 57
3427 , 159
1230 , 78
1556 , 118
1542 , 189
1224 , 197
968  , 73
3433 , 137
983  , 102
997  , 81
767  , 65
3382 , 131
1595 , 88
1581 , 65
3396 , 48
773  , 131
1768 , 65
1754 , 81
1032 , 61
1026 , 37
1740 , 38
1998 , 12
1973 , 10
559  , 31
1967 , 3
203  , 60
1797 , 151
3180 , 100
565  , 31
571  , 258
3194 , 47
1783 , 84
217  , 64
567  , 69
3182 , 267
1795 , 45
201  , 30
215  , 31
1781 , 202
1959 , 7
3196 , 60
573  , 71
1971 , 26
229  , 46
1965 , 8
1030 , 48
1756 , 138
1742 , 66
1024 , 30
598  , 75
1018 , 33
1597 , 261
3380 , 179
765  , 35
771  , 64
3394 , 133
1583 , 110
759  , 31
981  , 45
995  , 57
1554 , 200
1232 , 159
3425 , 141
3431 , 83
1226 , 91
1540 , 159
1568 , 87
3419 , 444
942  , 83
956  , 25
177  , 32
611  , 67
1385 , 71
89   , 63
1391 , 80
605  , 119
163  , 39
639  , 37
1420 , 84
1346 , 80
1352 , 107
1434 , 99
188  , 50
76   , 95
836  , 64
62   , 72
822  , 52
1408 , 115
1187 , 104
413  , 45
1839 , 30
375  , 49
361  , 72
407  , 48
1193 , 168
1805 , 33
349  , 52
1811 , 163
1144 , 83
1622 , 62
1636 , 110
1150 , 67
2459 , 21
1178 , 113
2471 , 41
2317 , 11
2465 , 190
1179 , 237
3008 , 78
1637 , 77
3020 , 151
1151 , 75
1145 , 133
3034 , 84
1623 , 53
1810 , 103
348  , 61
1804 , 48
360  , 83
1192 , 83
406  , 46
